发布时间,货币名称,现汇卖出价
2022.11.01 23:35:10,美元,729.41
2022.11.01 23:35:10,美元,729.41
2022.11.01 23:35:10,美元,729.41
2022.11.01 23:24:20,美元,729.41
2022.11.01 23:08:43,美元,729.41
2022.11.01 22:59:43,美元,729.41
2022.11.01 22:58:23,美元,729.31
2022.11.01 22:49:50,美元,729.31
2022.11.01 22:49:13,美元,729.31
2022.11.01 22:48:21,美元,729.31
2022.11.01 22:46:24,美元,729.31
2022.11.01 22:42:09,美元,729.11
2022.11.01 22:41:44,美元,728.91
2022.11.01 22:29:02,美元,728.91
2022.11.01 22:21:34,美元,728.91
2022.11.01 22:19:18,美元,728.61
2022.11.01 22:12:33,美元,728.61
2022.11.01 22:07:42,美元,728.21
2022.11.01 22:06:07,美元,728.21
2022.11.01 22:04:16,美元,728.21
2022.11.01 22:01:32,美元,728.21
2022.11.01 21:59:53,美元,728.21
2022.11.01 21:52:05,美元,728.01
2022.11.01 21:42:19,美元,727.71
2022.11.01 21:42:06,美元,727.61
2022.11.01 21:32:06,美元,727.31
2022.11.01 21:24:50,美元,727.31
2022.11.01 21:18:17,美元,727.31
2022.11.01 21:10:51,美元,727.31
2022.11.01 21:08:48,美元,727.31
2022.11.01 20:58:17,美元,727.31
2022.11.01 20:50:23,美元,727.31
2022.11.01 20:40:38,美元,727.51
2022.11.01 20:37:28,美元,727.51
2022.11.01 20:35:29,美元,727.51
2022.11.01 20:29:07,美元,727.71
2022.11.01 20:21:11,美元,727.71
2022.11.01 20:20:08,美元,727.71
2022.11.01 20:18:27,美元,727.71
2022.11.01 20:17:34,美元,727.71
2022.11.01 20:14:11,美元,727.71
2022.11.01 20:09:43,美元,727.71
2022.11.01 20:01:29,美元,727.91
2022.11.01 19:58:12,美元,727.91
2022.11.01 19:45:02,美元,728.11
2022.11.01 19:36:24,美元,728.11
2022.11.01 19:36:13,美元,728.21
2022.11.01 19:27:46,美元,728.21
2022.11.01 19:25:28,美元,728.21
2022.11.01 19:21:22,美元,728.21
2022.11.01 19:19:22,美元,728.31
2022.11.01 19:13:14,美元,728.31
2022.11.01 19:12:08,美元,728.31
2022.11.01 19:08:09,美元,728.31
2022.11.01 19:07:50,美元,728.41
2022.11.01 19:05:51,美元,728.81
2022.11.01 19:05:44,美元,728.81
2022.11.01 19:05:36,美元,728.81
2022.11.01 18:55:41,美元,728.81
2022.11.01 18:42:56,美元,728.81
2022.11.01 18:34:39,美元,729.06
2022.11.01 18:34:23,美元,729.06
2022.11.01 18:29:11,美元,729.06
2022.11.01 18:25:58,美元,729.31
2022.11.01 18:03:33,美元,729.31
2022.11.01 18:01:24,美元,729.31
2022.11.01 17:59:55,美元,729.31
2022.11.01 17:54:32,美元,729.51
2022.11.01 17:51:28,美元,729.51
2022.11.01 17:48:28,美元,729.51
2022.11.01 17:40:50,美元,729.51
2022.11.01 17:29:53,美元,729.46
2022.11.01 17:25:50,美元,729.61
2022.11.01 17:18:44,美元,729.56
2022.11.01 17:17:30,美元,729.51
2022.11.01 17:15:26,美元,729.31
2022.11.01 17:15:01,美元,729.21
2022.11.01 17:09:47,美元,729.16
2022.11.01 17:09:02,美元,729.06
2022.11.01 17:01:39,美元,729.01
2022.11.01 16:52:05,美元,728.91
2022.11.01 16:42:55,美元,729.21
2022.11.01 16:36:40,美元,729.01
2022.11.01 16:35:13,美元,728.81
2022.11.01 16:28:57,美元,728.81
2022.11.01 16:25:23,美元,728.86
2022.11.01 16:23:42,美元,728.71
2022.11.01 16:23:28,美元,728.51
2022.11.01 16:21:39,美元,728.26
2022.11.01 16:17:17,美元,728.21
2022.11.01 16:17:06,美元,728.11
2022.11.01 16:15:30,美元,727.91
2022.11.01 16:11:38,美元,727.76
2022.11.01 16:10:43,美元,727.96
2022.11.01 16:09:44,美元,728.26
2022.11.01 16:06:57,美元,728.71
2022.11.01 16:07:05,美元,728.21
2022.11.01 16:06:43,美元,729.21
2022.11.01 16:06:03,美元,729.01
2022.11.01 16:03:16,美元,728.86
2022.11.01 15:58:54,美元,729.01
2022.11.01 15:58:32,美元,729.06
2022.11.01 15:57:38,美元,729.36
2022.11.01 15:55:48,美元,729.51
2022.11.01 15:54:38,美元,729.86
2022.11.01 15:52:45,美元,729.91
2022.11.01 15:50:33,美元,730.41
2022.11.01 15:49:25,美元,730.61
2022.11.01 15:45:00,美元,730.46
2022.11.01 15:43:24,美元,730.36
2022.11.01 15:42:50,美元,730.26
2022.11.01 15:42:29,美元,730.16
2022.11.01 15:41:55,美元,730.01
2022.11.01 15:36:27,美元,729.91
2022.11.01 15:33:16,美元,729.81
2022.11.01 15:31:23,美元,729.71
2022.11.01 15:29:16,美元,730.01
2022.11.01 15:27:36,美元,730.31
2022.11.01 15:26:35,美元,730.06
2022.11.01 15:26:57,美元,730.21
2022.11.01 15:25:33,美元,729.71
2022.11.01 15:25:43,美元,729.91
2022.11.01 15:25:21,美元,729.61
2022.11.01 15:25:11,美元,729.21
2022.11.01 15:23:55,美元,728.71
2022.11.01 15:22:33,美元,729.01
2022.11.01 15:19:25,美元,728.81
2022.11.01 15:18:07,美元,728.66
2022.11.01 15:15:09,美元,728.66
2022.11.01 15:13:15,美元,728.56
2022.11.01 15:12:35,美元,728.71
2022.11.01 15:11:52,美元,728.86
2022.11.01 15:10:27,美元,729.01
2022.11.01 15:09:52,美元,728.81
2022.11.01 15:09:13,美元,728.66
2022.11.01 15:08:10,美元,728.41
2022.11.01 15:07:31,美元,728.71
2022.11.01 15:05:39,美元,728.71
2022.11.01 15:03:09,美元,729.01
2022.11.01 15:00:04,美元,729.31
2022.11.01 14:55:22,美元,729.71
2022.11.01 14:52:25,美元,729.96
2022.11.01 14:51:49,美元,730.01
